offset	next_record_offset	type_code	verdict	path	declared_length	metadata_length	payload_count	payload_tags	payload_offsets	payload_lengths	payload_hashes	xattr_names
13374273957	13374274481	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWeAreFamily.patternxml	254	254	1	DATA	13374274211	270	None	
13374274481	13374275008	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWeHaveGuests.patternxml	255	255	1	DATA	13374274736	272	None	
13374275008	13374275532	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWelcomeHome.patternxml	254	254	1	DATA	13374275262	270	None	
13374275532	13374276062	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatAboutLove.patternxml	256	256	1	DATA	13374275788	274	None	
13374276062	13374276583	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatAreYou.patternxml	253	253	1	DATA	13374276315	268	None	
13374276583	13374277119	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatAreYouDoing.patternxml	258	258	1	DATA	13374276841	278	None	
13374277119	13374277670	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatAreYouDoingLater.patternxml	263	263	1	DATA	13374277382	288	None	
13374277670	13374278247	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatAreYouDoingValentines.patternxml	279	279	1	DATA	13374277949	298	None	
13374278247	13374278792	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatAreYouThinking.patternxml	261	261	1	DATA	13374278508	284	None	
13374278792	13374279340	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatCanIHelpYouWith.patternxml	262	262	1	DATA	13374279054	286	None	
13374279340	13374279876	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatColorAreYou.patternxml	258	258	1	DATA	13374279598	278	None	
13374279876	13374280415	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatDoHumansWant.patternxml	259	259	1	DATA	13374280135	280	None	
13374280415	13374280963	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatDoYouDreamAbout.patternxml	262	262	1	DATA	13374280677	286	None	
13374280963	13374281493	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalWhatDoYouLike.patternxml	256	256	1	DATA	13374281219	274	None	
